drug_id,drug_name,atc_code,atc_level1,atc_level1_name,atc_level2,atc_level3,atc_level4,atc_level5,level_name,primary_category
DB04819,Methapyrilene,R06AC05,R,Respiratory system,R06,R06A,R06AC,R06AC05,Substituted ethylene diamines,R
DB04820,Nialamide,N06AF02,N,Nervous system,N06,N06A,N06AF,N06AF02,"Monoamine oxidase inhibitors, non-selective",N
DB04821,Nomifensine,N06AX04,N,Nervous system,N06,N06A,N06AX,N06AX04,Other antidepressants,N
DB04822,Oxeladin,R05DB09,R,Respiratory system,R05,R05D,R05DB,R05DB09,Other cough suppressants,R
DB04823,Oxyphenisatin,A06AB01,A,Alimentary tract and metabolism,A06,A06A,A06AB,A06AB01,Contact laxatives,A
DB04824,Phenolphthalein,A06AB04,A,Alimentary tract and metabolism,A06,A06A,A06AB,A06AB04,Contact laxatives,A
DB04825,Prenylamine,C01DX52,C,Cardiovascular system,C01,C01D,C01DX,C01DX52,Other vasodilators used in cardiac diseases,C
DB04825,Prenylamine,C01DX02,C,Cardiovascular system,C01,C01D,C01DX,C01DX02,Other vasodilators used in cardiac diseases,C
DB04826,Thenalidine,R06AX03,R,Respiratory system,R06,R06A,R06AX,R06AX03,Other antihistamines for systemic use,R
DB04826,Thenalidine,R06AX53,R,Respiratory system,R06,R06A,R06AX,R06AX53,Other antihistamines for systemic use,R
DB04826,Thenalidine,D04AA03,D,Dermatologicals,D04,D04A,D04AA,D04AA03,Antihistamines for topical use,D
DB04828,Zomepirac,M01AB04,M,Musculo-skeletal system,M01,M01A,M01AB,M01AB04,Acetic acid derivatives and related substances,M
DB04830,Buformin,A10BA03,A,Alimentary tract and metabolism,A10,A10B,A10BA,A10BA03,Biguanides,A
DB04831,Tienilic acid,C03CC02,C,Cardiovascular system,C03,C03C,C03CC,C03CC02,Aryloxyacetic acid derivatives,C
DB04832,Zimelidine,N06AB02,N,Nervous system,N06,N06A,N06AB,N06AB02,Selective serotonin reuptake inhibitors,N
DB04833,Methaqualone,N05CX02,N,Nervous system,N05,N05C,N05CX,N05CX02,"Hypnotics and sedatives in combination, excl. barbiturates",N
DB04833,Methaqualone,N05CM01,N,Nervous system,N05,N05C,N05CM,N05CM01,Other hypnotics and sedatives,N
DB04835,Maraviroc,J05AX09,J,Antiinfectives for systemic use,J05,J05A,J05AX,J05AX09,Other antivirals,J
DB04836,Amineptine,N06AA19,N,Nervous system,N06,N06A,N06AA,N06AA19,Non-selective monoamine reuptake inhibitors,N
DB04837,Clofedanol,R05DB10,R,Respiratory system,R05,R05D,R05DB,R05DB10,Other cough suppressants,R
DB04838,Cyclandelate,C04AX01,C,Cardiovascular system,C04,C04A,C04AX,C04AX01,Other peripheral vasodilators,C
DB04839,Cyproterone acetate,G03HB01,G,Genito-urinary system and sex hormones,G03,G03H,G03HB,G03HB01,Antiandrogens and estrogens,G
DB04839,Cyproterone acetate,G03HA01,G,Genito-urinary system and sex hormones,G03,G03H,G03HA,G03HA01,"Antiandrogens, plain",G
DB04840,Debrisoquine,C02CC04,C,Cardiovascular system,C02,C02C,C02CC,C02CC04,Guanidine derivatives,C
DB04841,Flunarizine,N07CA03,N,Nervous system,N07,N07C,N07CA,N07CA03,Antivertigo preparations,N
DB04842,Fluspirilene,N05AG01,N,Nervous system,N05,N05A,N05AG,N05AG01,Diphenylbutylpiperidine derivatives,N
DB04843,Mepenzolate,A03AB12,A,Alimentary tract and metabolism,A03,A03A,A03AB,A03AB12,"Synthetic anticholinergics, quaternary ammonium compounds",A
DB04844,Tetrabenazine,N07XX06,N,Nervous system,N07,N07X,N07XX,N07XX06,Other nervous system drugs,N
DB04845,Ixabepilone,L01DC04,L,Antineoplastic and immunomodulating agents,L01,L01D,L01DC,L01DC04,Other cytotoxic antibiotics,L
DB04846,Celiprolol,C07AB08,C,Cardiovascular system,C07,C07A,C07AB,C07AB08,"Beta blocking agents, selective",C
DB04847,Roxadustat,B03XA05,B,Blood and blood forming organs,B03,B03X,B03XA,B03XA05,Other antianemic preparations,B
DB04849,Cediranib,L01XE32,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XE,L01XE32,Protein kinase inhibitors,L
DB04854,Febuxostat,M04AA03,M,Musculo-skeletal system,M04,M04A,M04AA,M04AA03,Preparations inhibiting uric acid production,M
DB04855,Dronedarone,C01BD07,C,Cardiovascular system,C01,C01B,C01BD,C01BD07,"Antiarrhythmics, class III",C
DB04861,Nebivolol,C07FB12,C,Cardiovascular system,C07,C07F,C07FB,C07FB12,Beta blocking agents and calcium channel blockers,C
DB04861,Nebivolol,C09DX05,C,Cardiovascular system,C09,C09D,C09DX,C09DX05,"Angiotensin II receptor blockers (ARBs), other combinations",C
DB04861,Nebivolol,C07BB12,C,Cardiovascular system,C07,C07B,C07BB,C07BB12,"Beta blocking agents, selective, and thiazides",C
DB04861,Nebivolol,C07AB12,C,Cardiovascular system,C07,C07A,C07AB,C07AB12,"Beta blocking agents, selective",C
DB04865,Omacetaxine mepesuccinate,L01XX40,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XX,L01XX40,Other antineoplastic agents,L
DB04868,Nilotinib,L01XE08,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XE,L01XE08,Protein kinase inhibitors,L
DB04871,Lorcaserin,A08AA11,A,Alimentary tract and metabolism,A08,A08A,A08AA,A08AA11,Centrally acting antiobesity products,A
DB04876,Vildagliptin,A10BH02,A,Alimentary tract and metabolism,A10,A10B,A10BH,A10BH02,Dipeptidyl peptidase 4 (DPP-4) inhibitors,A
DB04876,Vildagliptin,A10BD08,A,Alimentary tract and metabolism,A10,A10B,A10BD,A10BD08,Combinations of oral blood glucose lowering drugs,A
DB04878,Voglibose,A10BF03,A,Alimentary tract and metabolism,A10,A10B,A10BF,A10BF03,Alpha glucosidase inhibitors,A
DB04880,Enoximone,C01CE03,C,Cardiovascular system,C01,C01C,C01CE,C01CE03,Phosphodiesterase inhibitors,C
DB04884,Dapoxetine,G04BX14,G,Genito-urinary system and sex hormones,G04,G04B,G04BX,G04BX14,Other urologicals,G
DB04885,Cilansetron,A03AE03,A,Alimentary tract and metabolism,A03,A03A,A03AE,A03AE03,Serotonin receptor antagonists,A
DB04894,Vapreotide,H01CB04,H,Systemic hormonal preparations,H01,H01C,H01CB,H01CB04,Somatostatin and analogues,H
DB04895,Pegaptanib,S01LA03,S,Sensory organs,S01,S01L,S01LA,S01LA03,Antineovascularisation agents,S
