drug_id,name,atc_codes,target_genes,enzyme_genes,transporter_genes,all_genes,num_targets,num_enzymes,num_transporters,num_total_genes
DB00482,Celecoxib,"['M01AH01', 'L01XX33', 'G01AE10']","['PTGS2', 'PDPK1', 'CA2', 'CA3', 'ABCB5', 'ABCG2', 'ABCB1']","['CYP3A4', 'CYP2C9', 'CYP2D6', 'CYP2C8']","['ABCC4', 'ABCB11']","['ABCG2', 'ABCB11', 'CA2', 'CYP2C9', 'ABCB5', 'PDPK1', 'PTGS2', 'CYP2D6', 'CYP3A4', 'CYP2C8', 'ABCC4', 'CA3', 'ABCB1']",7,4,2,13
DB00484,Brimonidine,"['D11AX21', 'S01EA05']","['ADRA2A', 'ADRA2B', 'ADRA2C']",['AOX1'],[],"['ADRA2B', 'ADRA2C', 'ADRA2A', 'AOX1']",3,1,0,4
DB00485,Dicloxacillin,"['J01CR50', 'J01CF01']","['pbpC', 'pbp1b', 'pbp2a', 'pbp3', 'pbpA', 'penA']",['CYP3A4'],"['SLC15A1', 'SLC15A2']","['pbp3', 'pbpA', 'pbp2a', 'SLC15A2', 'SLC15A1', 'pbp1b', 'penA', 'CYP3A4', 'pbpC']",6,1,2,9
DB00486,Nabilone,['A04AD11'],"['CNR2', 'CNR1']","['CYP2E1', 'CYP2C8', 'CYP2C9']",[],"['CNR2', 'CYP2C9', 'CNR1', 'CYP2E1', 'CYP2C8']",2,3,0,5
DB00487,Pefloxacin,['J01MA03'],"['parC', 'gyrA', 'TOP2A', 'topA']",['CYP1A2'],[],"['gyrA', 'topA', 'CYP1A2', 'parC', 'TOP2A']",4,1,0,5
DB00489,Sotalol,"['C07AA07', 'C07BA07', 'C07FX02']","['KCNH2', 'ADRB1', 'ADRB2']",['CYP2D6'],[],"['CYP2D6', 'ADRB2', 'KCNH2', 'ADRB1']",3,1,0,4
DB00490,Buspirone,['N05BE01'],"['HTR1A', 'DRD2']","['CYP3A4', 'CYP3A5', 'CYP3A7', 'CYP2D6']",['ABCB1'],"['CYP3A7', 'HTR1A', 'CYP3A5', 'DRD2', 'CYP2D6', 'CYP3A4', 'ABCB1']",2,4,1,7
DB00491,Miglitol,['A10BF02'],"['MGAM', 'GAA', 'GANAB', 'GANC']",['AMY2A'],[],"['GANAB', 'GAA', 'GANC', 'AMY2A', 'MGAM']",4,1,0,5
DB00492,Fosinopril,"['C09BA09', 'C09AA09']",['ACE'],[],"['SLC15A1', 'SLC15A2']","['ACE', 'SLC15A2', 'SLC15A1']",1,0,2,3
DB00493,Cefotaxime,['J01DD01'],"['pbp1b', 'pbp2a', 'pbpC', 'pbpA', 'penA', 'SLC22A6', 'SLC22A8', 'SLC22A11', 'SLC22A7', 'SLC15A1', 'ALB', 'SLC15A2']",[],"['SLC15A1', 'SLC15A2', 'SLC22A6', 'SLC22A8', 'SLC22A11', 'SLC22A7']","['SLC22A7', 'pbpA', 'pbp2a', 'SLC15A2', 'SLC22A8', 'SLC22A11', 'SLC15A1', 'SLC22A6', 'pbp1b', 'penA', 'ALB', 'pbpC']",12,0,6,12
DB00494,Entacapone,['N04BX02'],['COMT'],"['COMT', 'UGT1A9', 'CYP2D6']",[],"['CYP2D6', 'COMT', 'UGT1A9']",1,3,0,3
