signature_name,drug_name,cid,direction,num_genes
Azd-1480_NC-27-AD53_batchid1_0.01uM_24h up,Azd-1480,16659841,up,123
Azd-1480_NC-27-AD53_batchid1_0.01uM_24h down,Azd-1480,16659841,down,715
_FB-30-CD67_batchid1_0.01uM_24h up,,20931416,up,13
_FB-30-CD67_batchid1_0.01uM_24h down,,20931416,down,9
At-7519_AF-99-HA02_batchid1_0.01uM_24h up,At-7519,11338033,up,19
At-7519_AF-99-HA02_batchid1_0.01uM_24h down,At-7519,11338033,down,9
Nms-P715_AA-91-SB25_batchid1_0.01uM_24h up,Nms-P715,44556162,up,52
Nms-P715_AA-91-SB25_batchid1_0.01uM_24h down,Nms-P715,44556162,down,34
Apixaban_AC-74-UR36_batchid1_0.01uM_24h up,Apixaban,10182969,up,99
Apixaban_AC-74-UR36_batchid1_0.01uM_24h down,Apixaban,10182969,down,23
AC1LA18U_CB-73-MJ69_batchid1_0.01uM_24h up,AC1LA18U,459803,up,22
AC1LA18U_CB-73-MJ69_batchid1_0.01uM_24h down,AC1LA18U,459803,down,8
Cb-5083_GA-59-RW04_batchid1_0.01uM_24h up,Cb-5083,73051434,up,15
Cb-5083_GA-59-RW04_batchid1_0.01uM_24h down,Cb-5083,73051434,down,55
Verproside_RB-55-WB28_batchid1_0.01uM_24h up,Verproside,12000799,up,8
Verproside_RB-55-WB28_batchid1_0.01uM_24h down,Verproside,12000799,down,15
121241171_S0-EE-YEKU_batchid1_0.01uM_24h up,121241171,121241171,up,135
121241171_S0-EE-YEKU_batchid1_0.01uM_24h down,121241171,121241171,down,38
71660551_GF-16-AN80_batchid1_0.01uM_24h up,71660551,71660551,up,48
71660551_GF-16-AN80_batchid1_0.01uM_24h down,71660551,71660551,down,5
25218467_JE-22-JR20_batchid1_0.01uM_24h up,25218467,25218467,up,60
25218467_JE-22-JR20_batchid1_0.01uM_24h down,25218467,25218467,down,37
Sgi-1027_ED-71-GA72_batchid1_0.01uM_24h up,Sgi-1027,24858111,up,20
Sgi-1027_ED-71-GA72_batchid1_0.01uM_24h down,Sgi-1027,24858111,down,72
_XA-82-BM12_batchid1_0.01uM_24h up,,51348985,up,62
_XA-82-BM12_batchid1_0.01uM_24h down,,51348985,down,186
Halicin_JF-14-JC89_batchid1_0.01uM_24h up,Halicin,11837140,up,19
Halicin_JF-14-JC89_batchid1_0.01uM_24h down,Halicin,11837140,down,26
10928349_IB-59-SI50_batchid1_0.01uM_24h up,10928349,10928349,up,12
N-Phthalyl-L-tryptophan_AC-11-BO01_batchid1_0.01uM_24h up,N-Phthalyl-L-tryptophan,702558,up,18
N-Phthalyl-L-tryptophan_AC-11-BO01_batchid1_0.01uM_24h down,N-Phthalyl-L-tryptophan,702558,down,216
_TF-60-NH65_batchid1_0.01uM_24h down,,,down,9
Cevoglitazar_BA-74-BQ33_batchid1_0.01uM_24h up,Cevoglitazar,10175076,up,62
Cevoglitazar_BA-74-BQ33_batchid1_0.01uM_24h down,Cevoglitazar,10175076,down,46
Ar-67_CF-24-KQ98_batchid1_0.01uM_24h up,Ar-67,6712744,up,313
Ar-67_CF-24-KQ98_batchid1_0.01uM_24h down,Ar-67,6712744,down,359
11143173_FE-21-KA82_batchid1_0.01uM_24h up,11143173,11143173,up,128
11143173_FE-21-KA82_batchid1_0.01uM_24h down,11143173,11143173,down,51
"8-Phenylimidazo[1,5-a]pyridine_DE-05-NX87_batchid1_0.01uM_24h up","8-Phenylimidazo[1,5-a]pyridine",25012945,up,127
"8-Phenylimidazo[1,5-a]pyridine_DE-05-NX87_batchid1_0.01uM_24h down","8-Phenylimidazo[1,5-a]pyridine",25012945,down,27
11238147_EA-62-MI89_batchid1_0.01uM_24h up,11238147,11238147,up,39
11238147_EA-62-MI89_batchid1_0.01uM_24h down,11238147,11238147,down,5
Bisindolylmaleimide I_AD-99-SN88_batchid1_0.01uM_24h up,Bisindolylmaleimide I,2396,up,109
Bisindolylmaleimide I_AD-99-SN88_batchid1_0.01uM_24h down,Bisindolylmaleimide I,2396,down,46
Fomepizole_GE-58-RW27_batchid1_0.01uM_24h up,Fomepizole,3406,up,8
Fomepizole_GE-58-RW27_batchid1_0.01uM_24h down,Fomepizole,3406,down,9
44248217_EA-43-XP68_batchid1_0.01uM_24h up,44248217,44248217,up,31
44248217_EA-43-XP68_batchid1_0.01uM_24h down,44248217,44248217,down,8
Abt-737_CF-48-QD87_batchid1_0.01uM_24h up,Abt-737,11228183,up,36
